scene_id,scene_name,rank,source,target_overlap,quantile,orientation_deg,line_count,path_length_km,nominal_coverage_pct,nominal_excess_overlap_pct,stress_min_coverage_pct,stress_max_excess_overlap_pct,deterministic_score
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,1,hybrid_reference,,,0.0,116,15038.151353299834,99.33333333333333,0.017754944001838673,97.86666666666667,0.01069107557121988,751.9075676649918
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,2,uncertainty_margin_reference,,,0.0,116,15038.223860078393,99.33333333333333,0.0,98.06666666666666,0.0,751.9111930039197
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,3,margin_grid,0.125,0.22,90.0,81,14553.071999999964,99.16666666666667,0.0,96.66666666666667,0.0,1553.7535999999948
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,4,margin_grid,0.1,0.22,90.0,79,14197.207999999964,100.0,0.0,95.82222222222222,0.0,3107.4604000000004
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,5,margin_grid,0.075,0.22,90.0,77,13841.163999999964,100.0,0.0,93.35555555555555,0.0,7884.858200000003
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,6,margin_grid,0.05,0.22,90.0,75,13484.939999999964,100.0,0.0,90.84444444444445,0.0,12748.646999999994
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,1,uncertainty_margin_reference,,,75.0,72,6318.997663461488,100.0,0.0,98.51111111111112,0.035555555555555556,315.9498831730744
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,2,hybrid_reference,,,90.0,59,6656.620000000051,100.0,0.0,97.24444444444444,0.0,660.4310000000055
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,3,margin_grid,0.125,0.22,90.0,57,6433.44000000005,99.16666666666667,0.0,96.66666666666667,0.0,1138.5719999999974
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,4,margin_grid,0.075,0.22,90.0,54,6099.525000000047,99.16666666666667,0.0,93.15555555555555,0.0,7756.976250000007
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,5,margin_grid,0.05,0.22,0.0,65,5978.135581442896,99.33333333333333,0.0,91.53333333333333,0.0,11098.90677907215
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,1,margin_grid,0.15,0.3,135.0,13,76.26423550353944,99.10555555555555,2.765075846052384,98.11111111111111,2.5950047593563768,7.677265079968391
