scene_id,scene_label,scene_name,terrain_class,method,method_label,method_family,seed,orientation_deg,line_count,path_length_km,path_gain_vs_fixed_pct,coverage_pct,coverage_delta_vs_fixed_pp,excess_overlap_pct,overlap_cleanup_vs_fixed_pp,score,feasible_C97_O3,planning_time_s,heading_policy,spacing_policy,swath_quantile,swath_ref_m,spacing_m
gebco_cascadia_margin_moderate,GEBCO Cascadia,GEBCO Cascadia Margin,moderate_slope,Fixed-Spacing,Fixed,paper_reference,0,0.0,117,15166.70891059631,0.0,100.0,0.0,0.7985185185185184,0.0,15169.104466151864,1,0.14513325001462363,Reference 0-degree fixed-spacing plan from the main benchmark.,,,,
gebco_cascadia_margin_moderate,GEBCO Cascadia,GEBCO Cascadia Margin,moderate_slope,Min-Span Boustrophedon,Min-span,external_heuristic,0,90.0,84,15087.731050517965,0.5207316929724048,99.17222222222222,-0.8277777777777828,0.801318725,-0.002800206481481604,15090.135006692964,1,0.056475209014024585,Choose the heading with minimum cross-track span on a 5-degree grid.,scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia,GEBCO Cascadia Margin,moderate_slope,Contour-Parallel Fixed-Width,Contour,external_heuristic,0,90.0,84,15087.731050517965,0.5207316929724048,99.17222222222222,-0.8277777777777828,0.801318725,-0.002800206481481604,15090.135006692964,1,0.0028273339848965406,"Estimate the dominant terrain-gradient direction, rotate by 90 degrees, and snap the contour-parallel line heading to the nearest 5 degrees.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia,GEBCO Cascadia Margin,moderate_slope,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,0,95.0,94,15065.836708169189,0.6650895920910439,100.0,0.0,0.09344585755555554,0.7050726609629628,15066.117045741856,1,0.14822350000031292,"Scan 5-degree headings and select the shortest fixed-width lawnmower distance; coverage and overlap are audited after selection, not used to choose the heading.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia,GEBCO Cascadia Margin,moderate_slope,Adaptive Spacing w/o GA,Adaptive,paper_reference,0,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,-0.6666666666666714,0.0,0.7985185185185184,15038.223860078393,1,2.2193224170187023,Deterministic terrain-aware adaptive-spacing baseline.,,,,
gebco_cascadia_margin_moderate,GEBCO Cascadia,GEBCO Cascadia Margin,moderate_slope,Hybrid GA Seed-0,Hybrid s0,paper_reference,0,0.0,116,15038.151353299834,0.847629884995405,99.33333333333333,-0.6666666666666714,0.017754944001838673,0.7807635745166798,15038.20461813184,1,1.9556956669839565,Representative seed-0 local GA cleanup from the adaptive base.,,,,
gebco_monterey_canyon_complex,GEBCO Monterey,GEBCO Monterey Canyon,complex_relief,Fixed-Spacing,Fixed,paper_reference,0,0.0,73,6700.516576082025,0.0,99.33333333333333,0.0,0.8148148148148147,0.0,6702.961020526469,1,0.0972100840008352,Reference 0-degree fixed-spacing plan from the main benchmark.,,,,
gebco_monterey_canyon_complex,GEBCO Monterey,GEBCO Monterey Canyon,complex_relief,Min-Span Boustrophedon,Min-span,external_heuristic,0,90.0,59,6656.3676243300515,0.6588887774647991,99.17777777777778,-0.15555555555555145,0.30069568518518475,0.5141191296296299,6657.2697113856075,1,0.0727433749998454,Choose the heading with minimum cross-track span on a 5-degree grid.,scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_monterey_canyon_complex,GEBCO Monterey,GEBCO Monterey Canyon,complex_relief,Contour-Parallel Fixed-Width,Contour,external_heuristic,0,95.0,65,6669.139443203906,0.4682793113313309,99.99444444444444,0.6611111111111114,0.0,0.8148148148148147,6669.139443203906,1,0.0013770000077784061,"Estimate the dominant terrain-gradient direction, rotate by 90 degrees, and snap the contour-parallel line heading to the nearest 5 degrees.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_monterey_canyon_complex,GEBCO Monterey,GEBCO Monterey Canyon,complex_relief,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,0,90.0,59,6656.3676243300515,0.6588887774647991,99.17777777777778,-0.15555555555555145,0.30069568518518475,0.5141191296296299,6657.2697113856075,1,0.07989358299528249,"Scan 5-degree headings and select the shortest fixed-width lawnmower distance; coverage and overlap are audited after selection, not used to choose the heading.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_monterey_canyon_complex,GEBCO Monterey,GEBCO Monterey Canyon,complex_relief,Adaptive Spacing w/o GA,Adaptive,paper_reference,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.6666666666666714,0.0,0.8148148148148147,6656.620000000051,1,1.1700548749940936,Deterministic terrain-aware adaptive-spacing baseline.,,,,
gebco_monterey_canyon_complex,GEBCO Monterey,GEBCO Monterey Canyon,complex_relief,Hybrid GA Seed-0,Hybrid s0,paper_reference,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.6666666666666714,0.0,0.8148148148148147,6656.620000000051,1,0.8410865000041667,Representative seed-0 local GA cleanup from the adaptive base.,,,,
gebco_mariana_trench_complex,GEBCO Mariana,GEBCO Mariana Trench,complex_relief,Fixed-Spacing,Fixed,paper_reference,0,0.0,146,32015.95814679676,0.0,99.33333333333333,0.0,0.6814814814814812,0.0,32018.002591241202,1,0.1695670000044629,Reference 0-degree fixed-spacing plan from the main benchmark.,,,,
gebco_mariana_trench_complex,GEBCO Mariana,GEBCO Mariana Trench,complex_relief,Min-Span Boustrophedon,Min-span,external_heuristic,0,90.0,143,32053.49478182701,-0.11724351605577599,98.33888888888889,-0.99444444444444,1.1066834935185186,-0.42520201203703734,32056.814832307566,1,0.04550387500785291,Choose the heading with minimum cross-track span on a 5-degree grid.,scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_mariana_trench_complex,GEBCO Mariana,GEBCO Mariana Trench,complex_relief,Contour-Parallel Fixed-Width,Contour,external_heuristic,0,160.0,186,31974.88194133568,0.12829916028981433,99.99444444444444,0.6611111111111114,0.01969394101851852,0.6617875404629627,31974.941023158735,1,0.0015398339892271906,"Estimate the dominant terrain-gradient direction, rotate by 90 degrees, and snap the contour-parallel line heading to the nearest 5 degrees.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_mariana_trench_complex,GEBCO Mariana,GEBCO Mariana Trench,complex_relief,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,0,85.0,155,31935.510702280895,0.25127295627699936,99.99444444444444,0.6611111111111114,0.06046681481481475,0.6210146666666665,31935.69210272534,1,0.1519771250023041,"Scan 5-degree headings and select the shortest fixed-width lawnmower distance; coverage and overlap are audited after selection, not used to choose the heading.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_mariana_trench_complex,GEBCO Mariana,GEBCO Mariana Trench,complex_relief,Adaptive Spacing w/o GA,Adaptive,paper_reference,0,0.0,145,31797.663364969383,0.681831169401425,99.33333333333333,0.0,0.0,0.6814814814814812,31797.663364969383,1,2.145864416990662,Deterministic terrain-aware adaptive-spacing baseline.,,,,
gebco_mariana_trench_complex,GEBCO Mariana,GEBCO Mariana Trench,complex_relief,Hybrid GA Seed-0,Hybrid s0,paper_reference,0,0.0,145,31797.663364969383,0.681831169401425,99.33333333333333,0.0,0.0,0.6814814814814812,31797.663364969383,1,1.5630654580018017,Representative seed-0 local GA cleanup from the adaptive base.,,,,
gebco_puerto_rico_trench_complex,GEBCO Puerto Rico,GEBCO Puerto Rico Trench,complex_relief,Fixed-Spacing,Fixed,paper_reference,0,0.0,146,30861.81643020727,0.0,99.42222222222222,0.0,0.43856848827903316,0.0,30863.132135672106,1,0.1404852079867851,Reference 0-degree fixed-spacing plan from the main benchmark.,,,,
gebco_puerto_rico_trench_complex,GEBCO Puerto Rico,GEBCO Puerto Rico Trench,complex_relief,Min-Span Boustrophedon,Min-span,external_heuristic,0,90.0,137,30709.749701577,0.4927342140543256,98.57777777777777,-0.8444444444444485,0.0,0.43856848827903316,30709.749701577,1,0.08347887499257922,Choose the heading with minimum cross-track span on a 5-degree grid.,scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_puerto_rico_trench_complex,GEBCO Puerto Rico,GEBCO Puerto Rico Trench,complex_relief,Contour-Parallel Fixed-Width,Contour,external_heuristic,0,0.0,146,30861.81643020727,0.0,99.42222222222222,0.0,0.43856848827903316,0.0,30863.132135672106,1,0.0016307499899994582,"Estimate the dominant terrain-gradient direction, rotate by 90 degrees, and snap the contour-parallel line heading to the nearest 5 degrees.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_puerto_rico_trench_complex,GEBCO Puerto Rico,GEBCO Puerto Rico Trench,complex_relief,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,0,90.0,137,30709.749701577,0.4927342140543256,98.57777777777777,-0.8444444444444485,0.0,0.43856848827903316,30709.749701577,1,0.23847341697546653,"Scan 5-degree headings and select the shortest fixed-width lawnmower distance; coverage and overlap are audited after selection, not used to choose the heading.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_puerto_rico_trench_complex,GEBCO Puerto Rico,GEBCO Puerto Rico Trench,complex_relief,Adaptive Spacing w/o GA,Adaptive,paper_reference,0,90.0,137,30709.76,0.49270084458943014,99.40555555555555,-0.01666666666666572,0.0,0.43856848827903316,30709.76,1,1.4478844580007717,Deterministic terrain-aware adaptive-spacing baseline.,,,,
gebco_puerto_rico_trench_complex,GEBCO Puerto Rico,GEBCO Puerto Rico Trench,complex_relief,Hybrid GA Seed-0,Hybrid s0,paper_reference,0,90.0,137,30709.741952307213,0.49275932362557556,98.59444444444443,-0.8277777777777828,0.09476696843461241,0.34380151984442076,30710.026253212516,1,2.7369931249995716,Representative seed-0 local GA cleanup from the adaptive base.,,,,
gebco_mid_atlantic_ridge_moderate,GEBCO Mid-Atlantic,GEBCO Mid-Atlantic Ridge,ridge_relief,Fixed-Spacing,Fixed,paper_reference,0,0.0,146,26518.293369635212,0.0,100.0,0.0,0.6814814814814812,0.0,26520.337814079656,1,0.4747369999822695,Reference 0-degree fixed-spacing plan from the main benchmark.,,,,
gebco_mid_atlantic_ridge_moderate,GEBCO Mid-Atlantic,GEBCO Mid-Atlantic Ridge,ridge_relief,Min-Span Boustrophedon,Min-span,external_heuristic,0,90.0,118,26449.839543628,0.2581381277182581,99.17222222222222,-0.8277777777777828,0.5559781222222221,0.12550335925925915,26451.507477994666,1,0.10424749998492189,Choose the heading with minimum cross-track span on a 5-degree grid.,scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_mid_atlantic_ridge_moderate,GEBCO Mid-Atlantic,GEBCO Mid-Atlantic Ridge,ridge_relief,Contour-Parallel Fixed-Width,Contour,external_heuristic,0,135.0,186,26493.520769238832,0.09341702367900394,100.0,0.0,0.0,0.6814814814814812,26493.520769238832,1,0.015619084006175399,"Estimate the dominant terrain-gradient direction, rotate by 90 degrees, and snap the contour-parallel line heading to the nearest 5 degrees.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_mid_atlantic_ridge_moderate,GEBCO Mid-Atlantic,GEBCO Mid-Atlantic Ridge,ridge_relief,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,0,85.0,130,26412.743977776994,0.39802482907545345,99.99444444444444,-0.005555555555559977,0.02459834768518491,0.6568831337962964,26412.81777282005,1,0.2641822500154376,"Scan 5-degree headings and select the shortest fixed-width lawnmower distance; coverage and overlap are audited after selection, not used to choose the heading.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_mid_atlantic_ridge_moderate,GEBCO Mid-Atlantic,GEBCO Mid-Atlantic Ridge,ridge_relief,Adaptive Spacing w/o GA,Adaptive,paper_reference,0,0.0,145,26337.653826007576,0.6811884200454528,99.33333333333333,-0.6666666666666714,0.0,0.6814814814814812,26337.653826007576,1,2.7188755000242963,Deterministic terrain-aware adaptive-spacing baseline.,,,,
