coverage_penalty_weight,overlap_penalty_weight,scene_id,scene_name,method,seed,orientation_deg,line_count,path_length_km,path_gain_vs_fixed_pct,coverage_pct,excess_overlap_pct,planning_time_s,feasible
40.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,0,0.0,117,15166.70891059631,0.0,100.0,0.7985185185185184,0.06021929200505838,1
40.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,0,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.7670455829938874,1
40.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,0,0.0,116,15038.151353299834,0.847629884995405,99.33333333333333,0.017754944001838673,0.7022188330010977,1
40.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,1,0.0,116,15038.127733605384,0.8477856188107566,98.66666666666667,0.15191273683398185,0.6932142919977196,1
40.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,2,0.0,116,15038.186461415387,0.8473984035595832,98.66666666666667,0.12063838321477975,0.6857290419866331,1
40.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,3,0.0,116,15038.087328132076,0.848052027782843,98.66666666666667,0.13658666227703686,0.6988554999988992,1
40.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,4,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.6980679580010474,1
40.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,0,0.0,73,6700.516576082025,0.0,99.33333333333333,0.8148148148148147,0.03965175000485033,1
40.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.5973270839895122,1
40.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,0,90.0,59,6656.465714154231,0.6574248631073635,99.16666666666667,0.33204071100950805,0.3092825830099173,1
40.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,1,90.0,59,6656.479627423728,0.6572172183782039,99.16666666666667,0.163107150959513,0.3130466250004247,1
40.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,2,90.0,59,6656.399248285274,0.6584168145218969,99.16666666666667,0.20972741100010953,0.31312466599047184,1
40.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,3,90.0,59,6656.491230719593,0.6570440482094092,99.16666666666667,0.20414804533443287,0.30409249998047017,1
40.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,4,90.0,59,6656.495436259345,0.6569812837985644,99.16666666666667,0.04933670074740942,0.3068797499872744,1
40.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,0,0.0,117,15166.70891059631,0.0,100.0,0.7985185185185184,0.05961258398019709,1
40.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,0,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.7524054579844233,1
40.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,0,0.0,116,15038.151353299834,0.847629884995405,99.33333333333333,0.017754944001838673,0.6822094999952242,1
40.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,1,0.0,116,15038.132129077272,0.8477566377581529,98.66666666666667,0.09615307101296579,0.7355509579938371,1
40.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,2,0.0,116,15038.186461415387,0.8473984035595832,98.66666666666667,0.12063838321477975,1.0767246669856831,1
40.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,3,0.0,116,15038.167326861087,0.8475245651046723,98.66666666666667,0.0358239719493603,0.8048741669917945,1
40.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,4,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.7567503330064937,1
40.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,0,0.0,73,6700.516576082025,0.0,99.33333333333333,0.8148148148148147,0.04460795799968764,1
40.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.6191406670259312,1
40.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.3576561250083614,1
40.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,1,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.3647407919925172,1
40.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,2,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,1.866027291980572,1
40.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,3,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.5374340830021538,1
40.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,4,90.0,59,6656.547473748718,0.6562046647307321,99.16666666666667,0.007684744332857689,0.4020337499969173,1
40.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,0,0.0,117,15166.70891059631,0.0,100.0,0.7985185185185184,0.09186375001445413,1
40.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,0,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.8982284160156269,1
40.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,0,0.0,116,15038.151353299834,0.847629884995405,99.33333333333333,0.017754944001838673,0.6741160410165321,1
40.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,1,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.6584826250036713,1
40.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,2,0.0,116,15038.186461415387,0.8473984035595832,98.66666666666667,0.12063838321477975,0.6645005419850349,1
40.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,3,0.0,116,15038.167326861087,0.8475245651046723,98.66666666666667,0.0358239719493603,0.6652634999772999,1
