scene_id,scene_name,method,scenario,n_mc,coverage_pct_mean,coverage_pct_std,coverage_pct_min,coverage_pct_p05,coverage_pct_p50,coverage_pct_p95,coverage_pct_max,excess_overlap_pct_mean,excess_overlap_pct_std,excess_overlap_pct_min,excess_overlap_pct_p05,excess_overlap_pct_p50,excess_overlap_pct_p95,excess_overlap_pct_max,feasible_rate,cross_track_sigma_frac,global_shift_sigma_frac,correlated_line_sigma_frac,heading_sigma_deg,swath_scale_sigma,local_swath_sigma,terrain_swath_sigma
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,nominal,1,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.7985185185185184,0.7985185185185184,0.7985185185185184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,moderate_noise,300,99.23592592592591,0.23745362697947192,98.44444444444444,98.82111111111111,99.27777777777777,99.57277777777777,100.0,1.607368249874822,0.5480360501079842,0.5887087517662902,0.9367534833293237,1.498587701519662,2.6441086601925337,4.105192161386433,0.9666666666666667,0.05,0.02,0.03,0.5,0.03,0.02,0.015
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,strong_noise,300,97.76166666666667,1.183931382521182,92.52777777777777,95.50305555555556,97.94166666666666,99.23388888888888,99.7611111111111,3.4602677861579485,1.317411516939875,0.8330584674890907,1.6128123886149226,3.286192669086022,5.971222414685167,7.827647849712741,0.24,0.1,0.04,0.07,1.0,0.06,0.04,0.035
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,nominal,1,99.33333333333333,0.0,99.33333333333333,99.33333333333333,99.33333333333333,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,moderate_noise,300,99.00668518518519,0.23570326358293894,97.91111111111111,98.65555555555555,99.01944444444445,99.33333333333333,99.34444444444445,0.7325844671885249,0.502422687058476,0.032678022668424025,0.12571537049068596,0.5878189848573546,1.7235725527373822,2.2624005510369045,1.0,0.05,0.02,0.03,0.5,0.03,0.02,0.015
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,strong_noise,300,97.49144444444445,1.2906520714535434,89.52222222222223,95.1986111111111,97.79166666666666,99.0113888888889,99.49444444444444,2.6221184906613164,1.3758908723912,0.27225499107354145,0.9563210084886546,2.383809022302599,4.843553828947457,8.969414479639303,0.3933333333333333,0.1,0.04,0.07,1.0,0.06,0.04,0.035
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,nominal,1,99.33333333333333,0.0,99.33333333333333,99.33333333333333,99.33333333333333,99.33333333333333,99.33333333333333,0.017754944001838673,0.0,0.017754944001838673,0.017754944001838673,0.017754944001838673,0.017754944001838673,0.017754944001838673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,moderate_noise,300,98.93994444444444,0.25662541154735924,97.92222222222222,98.55944444444445,98.95833333333333,99.33333333333333,99.33333333333333,0.8909201898470929,0.5470183740086932,0.047260159527433614,0.22260514732352701,0.7689645789387619,1.9698964673727282,2.5855658028811486,1.0,0.05,0.02,0.03,0.5,0.03,0.02,0.015
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,strong_noise,300,97.38698148148148,1.3206839650194642,89.41666666666667,95.06805555555556,97.67777777777778,98.96722222222222,99.34444444444445,2.7140025117538698,1.3710220413229448,0.2895154802616509,0.929075216883401,2.4206680279290524,5.014212233184666,8.909629498628178,0.33666666666666667,0.1,0.04,0.07,1.0,0.06,0.04,0.035
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,nominal,1,99.33333333333333,0.0,99.33333333333333,99.33333333333333,99.33333333333333,99.33333333333333,99.33333333333333,0.8148148148148147,0.0,0.8148148148148147,0.8148148148148147,0.8148148148148147,0.8148148148148147,0.8148148148148147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
